method,2,3,4,6,8,16,32
SNN,83.7 ± 0.3,84.4 ± 0.5,84.2 ± 0.4,83.9 ± 0.5,84.5 ± 0.2,83.5 ± 0.5,82.5 ± 0.7
Batchnorm,80.0 ± 0.5,79.8 ± 1.6,77.2 ± 1.1,77.0 ± 1.7,75.0 ± 0.9,73.7 ± 2.0,76.0 ± 1.1
WeightNorm,83.7 ± 0.8,82.9 ± 0.8,82.2 ± 0.9,82.5 ± 0.6,81.9 ± 1.2,78.1 ± 1.3,56.6 ± 2.6
LayerNorm,84.3 ± 0.3,84.3 ± 0.5,84.0 ± 0.2,82.5 ± 0.8,80.9 ± 1.8,78.7 ± 2.3,78.8 ± 0.8
Highway,83.3 ± 0.9,83.0 ± 0.5,82.6 ± 0.9,82.4 ± 0.8,80.3 ± 1.4,80.3 ± 2.4,79.6 ± 0.8
MSRAinit,82.7 ± 0.4,81.6 ± 0.9,81.1 ± 1.7,80.6 ± 0.6,80.9 ± 1.1,80.2 ± 1.1,80.4 ± 1.9
ResNet,82.2 ± 1.1,80.0 ± 2.0,80.5 ± 1.2,81.2 ± 0.7,81.8 ± 0.6,81.2 ± 0.6," na"
